,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description,crime_description
crime_category,ALL OTHER OFFENSES,ARSON,ASSAULT,BRIBERY,BURGLARY/COMMERCIAL,BURGLARY/RESIDENTIAL,DISORDERLY CONDUCT,DRUG VIOLATIONS,DRUGS,EMBEZZLEMENT,EXTORTION,FRAUD,GAMBLING,HUMAN TRAFFICKING,HUMANE,KIDNAPPING,LARCENY,LARCENY FROM MV,LIQUOR LAW VIOLATIONS,MISCELLANEOUS,MURDER,MV THEFT,OBSCENE MATERIAL,PROSTITUTION,ROBBERY,SEX OFFENSES,STOLEN PROPERTY,TRAFFIC,UNAUTHORIZED MOTOR VEHICLE USE,VANDALISM,WEAPONS VIOLATION
zips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27609,0.06024214981789546,0.0013288709518653411,0.16630573875381435,0.0,0.008859139679102275,0.04651048331528694,0.010434097844276012,0.06619746037995866,0.131213702136037,0.0027069593463923615,0.0007382616399251895,0.05817501722610493,4.92174426616793e-05,0.00044295698395511367,0.024904025986809724,0.0012796535092036618,0.1003543655871641,0.08027364898119893,0.006152180332709913,0.0,0.0006890441972635102,0.026577419037306822,0.0010335662958952652,0.0011812186238803033,0.022000196869770648,0.003789743084949306,0.010040358302982577,0.031449945860813074,0.0066443547593267056,0.087016438625849,0.04340978442760114
27610,0.05501432664756447,0.0012177650429799427,0.17106017191977077,0.0,0.01167621776504298,0.06088825214899714,0.014183381088825215,0.05150429799426934,0.09305157593123209,0.0035816618911174787,0.0013610315186246419,0.07901146131805158,0.0,0.0004297994269340974,0.0335243553008596,0.0017191977077363897,0.10938395415472779,0.09197707736389685,0.0071633237822349575,0.0,0.00014326647564469913,0.030014326647564468,0.0012893982808022922,0.0013610315186246419,0.015472779369627506,0.0020773638968481375,0.009097421203438396,0.02041547277936963,0.006948424068767908,0.09391117478510029,0.032521489971346705
27612,0.05720317683723736,0.0010053282396702524,0.15637880768070775,0.0,0.012164471700010053,0.049814014275661005,0.008796622097114707,0.04046446164672766,0.08102945611742234,0.004272645018598573,0.0016587915954559163,0.08997687745048759,5.0266411983512615e-05,0.0003518648838845883,0.035839951744244494,0.0011561274756207902,0.14285714285714285,0.09776817130793204,0.0017593244194229415,0.0,0.0006031969438021514,0.025686136523574946,0.0012566602995878154,0.0014577259475218659,0.017442444958278878,0.007389162561576354,0.007992359505378506,0.03679501357193123,0.006283301497939077,0.0884186186789987,0.024127877752086056
27613,0.06344984802431611,0.0011398176291793312,0.14551671732522797,0.0,0.011018237082066869,0.03571428571428571,0.01405775075987842,0.03875379939209726,0.07522796352583587,0.00303951367781155,0.0007598784194528875,0.10182370820668693,0.0,0.0011398176291793312,0.040653495440729485,0.00037993920972644377,0.11778115501519756,0.11018237082066869,0.001899696048632219,0.0,0.0,0.028495440729483283,0.001899696048632219,0.004179331306990881,0.015957446808510637,0.004179331306990881,0.007978723404255319,0.03609422492401216,0.0026595744680851063,0.11056231003039514,0.025455927051671733
27614,0.06183680031660442,0.001706695688738282,0.17586386010042296,2.4734720126641766e-05,0.011452175418635139,0.04044126740705929,0.013777239110539465,0.05112666650176853,0.12936258626233643,0.003487595537856489,0.0007915110440525365,0.06453288481040836,4.946944025328353e-05,0.0003462860817729847,0.02478418956689505,0.0014593484874718642,0.11303767097875288,0.06267778080091024,0.0021024512107645503,2.4734720126641766e-05,0.0010883276855722377,0.021989166192584533,0.0010883276855722377,0.001187266566078805,0.017561651289915655,0.0025229414529174604,0.010215439412303049,0.03569220114274407,0.006752578594573203,0.08746197036780529,0.05555418140443741
27615,0.07444399279948899,0.001103304105452645,0.15899192845943905,0.00011613727425817315,0.012194413797108183,0.01864003251843679,0.02566633761105627,0.0696242959177748,0.10649788049474479,0.004471285058939667,0.0008129609198072121,0.08042506242378492,0.0,5.806863712908658e-05,0.030311828581383194,0.0009290981940653852,0.13466116950235177,0.07397944370245631,0.009407119214912026,5.806863712908658e-05,0.0004645490970326926,0.02073050345508391,0.0006387550084199524,0.0008710295569362987,0.01678183613030602,0.006387550084199524,0.007490854189652169,0.035363800011613725,0.004703559607456013,0.08280587654607746,0.021369258463503862
27616,0.05358959453567795,0.0013442813544542944,0.14587269292254032,0.0,0.009518965266676355,0.044288620839994186,0.0075570411277430605,0.026558639732597006,0.056314489173085305,0.00501380613282953,0.0015622729254468827,0.11600784769655573,0.00010899578549629414,3.633192849876471e-05,0.04203604127307078,0.0006903066414765296,0.21559366371166983,0.08992152303444267,0.0012352855689580003,3.633192849876471e-05,0.00018165964249382358,0.02350675773870077,0.0018892602819357651,0.0002906554279901177,0.010463595407644237,0.00316087777939253,0.00701206220026159,0.0241970643801773,0.006903066414765296,0.08276413312018602,0.022344136026740298
27617,0.04962258876153201,0.0009784735812133072,0.08764327648867766,0.0,0.01397819401733296,0.018870561923399497,0.006569751188146492,0.02516074923119933,0.045429130556332124,0.010763209393346379,0.0009784735812133072,0.12286832541235672,0.0,0.0,0.0349454850433324,0.0002795638803466592,0.35448700027956387,0.08526698350573106,0.0004193458205199888,0.0,0.0005591277606933184,0.020128599384959464,0.0008386916410399776,0.0001397819401733296,0.009644953871959744,0.00349454850433324,0.009784735812133072,0.02767682415431926,0.002096729102599944,0.061504053676265026,0.005870841487279843
27703,0.08,0.002352941176470588,0.1776470588235294,0.0,0.00823529411764706,0.07176470588235294,0.002352941176470588,0.023529411764705882,0.03058823529411765,0.0,0.0058823529411764705,0.12823529411764706,0.0,0.001176470588235294,0.05529411764705883,0.002352941176470588,0.09647058823529411,0.0976470588235294,0.002352941176470588,0.0,0.001176470588235294,0.03294117647058824,0.0035294117647058825,0.0,0.009411764705882352,0.0035294117647058825,0.0058823529411764705,0.02,0.004705882352941176,0.11529411764705882,0.01764705882352941
27707,0.054455445544554455,0.0,0.17326732673267325,0.0,0.009900990099009901,0.054455445544554455,0.012376237623762377,0.01485148514851485,0.03217821782178218,0.0,0.0,0.10643564356435643,0.0,0.0,0.06435643564356436,0.0,0.10396039603960396,0.11138613861386139,0.0,0.0,0.0,0.034653465346534656,0.0049504950495049506,0.0024752475247524753,0.009900990099009901,0.01485148514851485,0.0024752475247524753,0.017326732673267328,0.007425742574257425,0.1485148514851485,0.019801980198019802
27709,0.09650924024640657,0.002053388090349076,0.14784394250513347,0.0,0.0,0.059548254620123205,0.002053388090349076,0.01026694045174538,0.028747433264887063,0.0,0.002053388090349076,0.11498973305954825,0.0,0.0,0.11704312114989733,0.0,0.09034907597535935,0.09240246406570841,0.0,0.0,0.002053388090349076,0.028747433264887063,0.002053388090349076,0.0,0.0,0.0,0.004106776180698152,0.04106776180698152,0.008213552361396304,0.14168377823408623,0.008213552361396304
27713,0.06048718182647569,0.0023720463461363015,0.15053371042788066,0.0,0.011586534075358089,0.04598120609433446,0.006477511175987593,0.02700483532524405,0.05565185658242861,0.005930115865340754,0.002189581242587355,0.11805492199616824,0.0,0.00018246510354894625,0.061946902654867256,0.0008210929659702581,0.11267220144147432,0.1242587355168324,0.001368488276617097,0.0,0.0005473953106468388,0.028738253808959037,0.002736976553234194,0.00018246510354894625,0.009670650488094151,0.0016421859319405163,0.007754766900830217,0.030471672292674026,0.007389836693732324,0.09497308639722653,0.028373323601861143
